CITY,Population Density,Land Area,Households with Under 18,Total Families,2010 Census,YEARLY SALES
Buffalo,1.55,3115.5075,746,1819.5,4585,185328
Casper,11.16,3894.3091,7788,8756.32,35316,317736
Cheyenne,20.34,1500.1784,7158,14612.64,59466,917892
Cody,1.82,2998.95696,1403,3515.62,9520,218376
Douglas,1.46,1829.4651,832,1744.08,6120,208008
Evanston,4.95,999.4971,1486,2712.64,12359,283824
Gillette,5.8,2748.8529,4052,7189.43,29087,543132
Powell,1.62,2673.57455,1251,3134.18,6314,233928
Riverton,2.34,4796.859815,2680,5556.49,10615,303264
Rock Springs,2.78,6620.201916,4022,7572.18,23036,253584
Sheridan,8.98,1893.977048,2646,6039.71,17444,308232
